District in Greater Cairo where you live,Which day of the week (phase I) are you filling the information for?,"How many HOURS did you spend at HOME/DORM today? 
Please answer in real numbers","Water consumption during Showering during the time you spent at HOME/DORM (9.46 liters per min. Taking a bath is 189.2 liters per tub). 
Please insert your answer in real numbers","Water consumption for Toilet Flushing during the time you spent at HOME/DORM (11.35 liters per flush). 
Please insert your answer in real numbers","Water consumption for Washing Dishes by hand during the time you spent at HOME/DORM (7.57 liters per min). 
Please insert your answer in real numbers","Water consumption for Washing Hands during the time you spent at HOME/DORM (3.78 liters per min). 
Please insert your answer in real numbers","Water consumption during Watering Plants during the time you spent at HOME/DORM (can vary widely but try to estimate the average amount of time water is poured).
Please insert your answer in real numbers","Water consumption while Drinking during the time you spent at HOME/DORM (Try to estimate the average amount of water used: 0.23 liters per glass of water, or 0.6 liters per small water bottle)
Please insert your answer in real numbers","How many HOURS did you spend at UNIVERSITY today? 
Please answer in real numbers","Water consumption during Showering during the time you spent at THE UNIVERSITY (9.46 liters per min. Taking a bath is 189.2 liters per tub). 
Please insert your answer in real numbers","Water consumption for Toilet Flushing during the time you spent at the UNIVERSITY (11.35 liters per flush). 
Please insert your answer in real numbers","Water consumption for Washing Hands during the time you spent at the UNIVERSITY (3.78 liters per min). 
Please insert your answer in real numbers","Water consumption while Drinking during the time you spent at the UNIVERSITY (Try to estimate the average amount of water used: 0.23 liters per glass of water, or 0.6 liters per small water bottle)
Please insert your answer in real numbers","Can you tell us about the type of OTHER PLACES you are filling the information for (restaurent? club? hanging around?, etc.)","How many HOURS did you spend at OTHER PLACES today? 
Please answer in real numbers","Water consumption during Showering during the time you spent at OTHER PLACES (9.46 liters per min. Taking a bath is 189.2 liters per tub). 
Please insert your answer in real numbers","Water consumption for Washing Hands during the time you spent at OTHER PLACES (3.78 liters per min). 
Please insert your answer in real numbers","Water consumption for Toilet Flushing during the time you spent at OTHER PLACES (11.35 liters per flush). 
Please insert your answer in real numbers","Water consumption while Drinking during the time you spent at OTHER PLACES (Try to estimate the average amount of water used: 0.23 liters per glass of water, or 0.6 liters per small water bottle)
Please insert your answer in real numbers","Water consumption for Washing Dishes in a Dish Washing Machine at HOME/DORM (15 liters per load/cycle). 
Please insert your answer in real numbers","Water consumption for Washing Dishes in a Dish Washing Machine at OTHER PLACES (15 liters per load/cycle). 
Please insert your answer in real numbers","Water consumption for Washing Dishes by hand during the time you spent at OTHER PLACES (7.57 liters per min). 
Please insert your answer in real numbers"
"Ash-Shurūq , الشروق","Thursday, October 26th 2023",13,104.06,34.05,49.2,18.9,0,0.8,7,0,11.35,3.78,0.3,N/A,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",19,47.3,68.1,0,37.8,0,0.83,4.25,0,11.35,7.56,0.6,N/A,0,0,0,0,0,15,0,0
"Ash-Shurūq , الشروق","Monday, October 23rd 2023",14,0,11.35,0,7.56,0,1.2,10,0,11.35,3.78,1.2,didnt go anywhere,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",24,47.3,79.45,0,56.7,0,1.8,0,0,0,0,0,0,0,0,0,0,0,15,0,0
"Ash-Shurūq , الشروق","Tuesday, October 24th 2023",8,0,11.35,0,3.78,0,0,16,0,22.7,3.78,2.4,didnt go anywhere else,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",10,142,56.75,0,15.12,0,0.46,8,0,0,3.78,0.6,Cousin's house,6,0,7.16,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",21,160.82,56.75,0,13.419,0,1.8,3,0,0,0,0,Nowhere,0,0,0,0,0,0,0,0
"Al-Ma'ādī [Maadi] , المعادي","Thursday, October 26th 2023",8.77,66.22,34.05,0,8.568,8.568,1.5,7,0,11.35,3.213,0.6,-,0,0,0,0,0,0,0,0
"Ash-Shurūq , الشروق","Thursday, October 26th 2023",8,141.9,22.7,0,8.56,0,2,7,0,0,0,2,"Friends house, gym",9,0,3.78,22.7,2,15,0,0
"Ash-Shurūq , الشروق","Wednesday, October 25th 2023",18,0,34.05,0,7.56,0,1.8,6,0,0,0,0.6,didnt go anywhere else ,0,0,0,0,0,0,0,0
AUC Dorm,"Thursday, October 26th 2023",9.5,0,11.35,0,18.9,0,0.1,3,0,11.35,3.78,0.15,Alexandria and running-track ,12,122.98,11.34,34.05,0.8,0,0,0
AUC Dorm,"Sunday, October 22nd 2023",7,0,22.7,0,7.434,0,0.46,7,0,11.35,5.859,0.23,N/A,0,0,0,0,0,0,0,0
"Ash-Shurūq , الشروق","Thursday, October 26th 2023",3,141.9,11.35,0,3.78,0,0,9,0,11.35,3.78,2.03,Gym,2,0,1.89,0,1.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",24,94.6,94.9,0,64.26,0,2.4,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",9,0,11.35,0,13.13,20,0.92,0,0,0,0,0,Hanging around ,4,0,9.45,11.35,0.12,15,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",15,0,45.4,0,34.02,0,1.2,5,0,22.7,11.34,1.2,Friend’s house,4,0,3.78,11.35,0.6,0,0,7.57
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",15,122.98,22.7,0,34.02,0,2,1.5,0,0,3.78,0.6,friend’s house,4,0.3,3.78,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",14,9.46,22.7,0,11.34,0,0.6,4,0,0,0,0.3,cinema and gas station,6,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",24,94.6,45.4,0,56.7,0,0.6,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0
AUC Dorm,"Monday, October 23rd 2023",7,85.14,34.05,0,2.331,0,0.6,8,0,45.4,1.89,0.6,N/A,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",16,104,34.05,0,4.4,0,2,6,0,0,0,0,Restaurant,2,0,2.5,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",16,80,46,0,12,0,4,3,0,11.35,7,0,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",16,189.2,34.05,0,37.8,0,1,4,0,0,7.56,0.6,no,0,0,0,0,0,0,0,0
AUC Dorm,"Tuesday, October 24th 2023",12,0,22.7,3.53,9.324,0,0.6,5,0,22.7,2.457,0,N/A,0,0,0,0,0,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Thursday, October 26th 2023",13,56.76,45.4,0,15.12,0,1.5,4,0,22.7,11.34,0.6,p90,5,0,3.78,11.35,0.6,0,0,0
AUC Dorm,"Wednesday, October 25th 2023",7.5,141.9,34.05,0,6.15,0,1.2,6,0,22.7,5.544,0,N/A,0,0,0,0,0,0,0,0
AUC Dorm,"Thursday, October 26th 2023",5,0,11.35,0,6.678,0,0,9,0,11.35,1.008,0.6,N/A,0,0,0,0,0,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Wednesday, October 25th 2023",8,0,22.7,0,18.9,0,0.6,5,0,0,0,1.06,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",12,312.18,68.1,0,56.7,100,2,6,0,34.05,11.34,0.6,mall and hanging around,6,0,15.12,22.7,0.6,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Thursday, October 26th 2023",3,0,22.7,0,18.9,0,0.6,2,0,0,0,0.6, hanging around,4,0,18.9,0,1.49,0,0,0
"Shubrā al-Khaymah 1 [Shubra el-Kheima] , شبرا الخيمة","Thursday, October 26th 2023",24,189.2,11.35,0,22.68,0,1.4,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Thursday, October 26th 2023",4,94.6,22.7,0,11.34,0,1.1,5,0,22.7,11.34,1.2,hanging around,8,0,11.34,11.35,0.25,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Thursday, October 26th 2023",3,104.06,45.4,0,52.92,0,0.6,5,0,11.35,45.36,0.6,0,0,0,0,0,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Thursday, October 26th 2023",11,94.6,56.75,90.84,30.24,0,0.3,8,0,11.35,7.56,0.6,restaurant,2,0,0,0,0.1,15,0,0
"Al-Muqaṭṭam , المقطم","Wednesday, October 25th 2023",11,141.9,56.75,0,15.12,0,0.12,7,0,45.4,7.56,0.6,none,0,0,0,0,0,30,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",17,0,45.4,0,11.34,0,2,7,47.3,34.05,7.56,1.5,N/A,0,0,0,0,0,0,0,0
"Al-Muqaṭṭam , المقطم","Thursday, October 26th 2023",10,189.2,45.4,0,11.34,0,0.46,2,0,11.35,2,0,restaurant and mall,7,9,3.2,11.35,0.6,15,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Monday, October 23rd 2023",13,94.6,34.05,0,11.34,0,0.6,4,0,0,0,1.2,Hanging out ,5,0,0,0,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Thursday, October 26th 2023",7,38,46,0,8,0,1.5,8,0,35,8,2,0,0,0,0,0,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Tuesday, October 24th 2023",14,94.6,22.7,0,7.56,0,1.8,4,0,0,3.78,0.6,Na,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",13,179.74,56.75,0,52.99,5,1.2,7,0,0,0,0.6,Restaurant ,4,0,3.78,11.35,0.6,45,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",17,47.3,22.7,0,26.46,5,1.8,0,0,0,0,0,Restaurant ,7,0,3.78,11.35,0.6,30,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Wednesday, October 25th 2023",14,94.6,34.05,0,0,0,0,0,0,0,0,0,Stayed at a friends house ,10,0,3.78,11.35,0.6,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Thursday, October 26th 2023",0,0,0,0,0,0,0,6,0,11.35,3.78,0.6,Friends house ,24,94.6,3.78,34.05,1.2,0,0,0
"Al-Ma'ādī [Maadi] , المعادي","Monday, October 23rd 2023",2,0,22.7,0,5.67,0,0.46,11,0,0,1.89,0.5,Cafe,4,0,0,0,0,0,0,0
"Al-Ma'ādī [Maadi] , المعادي","Tuesday, October 24th 2023",7.75,189.2,22.7,0,9.45,0,0.7,7,0,11.35,3.9,0,Restaurant,1,0,0,0,0,30,0,0
"Al-Ma'ādī [Maadi] , المعادي","Thursday, October 26th 2023",4.25,0,22.7,0,7.56,0,0.46,8.5,0,11.35,2,0.6,Cafe,3,0,0,0,0,15,0,0
"Al-Ma'ādī [Maadi] , المعادي","Wednesday, October 25th 2023",10.5,0,22.7,0,15.12,0,0.46,4,0,0,3.78,0.6,Restaurant,2.25,0,0,0,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Wednesday, October 25th 2023",19,189.2,45.4,0,18.9,0,1,5,0,22.7,15.2,0.5,N.A.,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",20,0,45.4,0,22.68,0,2.4,4,0,0,3.78,1.8,0,0,0,0,0,0,45,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",9,0,22.7,0,7.56,0,0.23,8,0,11.35,5.67,0.3,Restaurant ,2,0,3.78,11.35,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Thursday, October 26th 2023",19,0,56.75,0,26.4,0,1,5,0,11.35,10,0.4,N.A.,0,0,0,0,0,15,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",18,66.22,34.05,0,18.9,0,2.4,6,0,0,0,1.2,0,0,0,0,0,0,30,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",14.5,198.66,22.7,0,7.56,0,0.6,4.5,0,11.35,3.78,0.6,5a,5,0,0,0,0,45,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Tuesday, October 24th 2023",22,0,22.7,0,15.12,0,1,2,0,11.35,3.78,0.23,0,0,0,0,0,0,15,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Thursday, October 26th 2023",9,0,45.5,0,13.041,0,1.8,4.5,0,11.35,3.528,0.6,none,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",20,0,56.75,0,3.78,0,2,4,0,0,0,0,N/A,0,0,0,0,0,0,0,0
"Al-Ma'ādī [Maadi] , المعادي","Thursday, October 26th 2023",14,122.98,34.05,0,8.505,0,0.8,10,0,34.05,6.615,1.5,None,0,0,0,0,0,0,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Wednesday, October 25th 2023",8,302.72,68.1,0,13.23,0,1.2,7,0,22.7,3.78,0.6,No,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",10,189.2,22.7,0,45.36,0,1.8,6,0,22.7,11.34,0.92,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",10,0,22.7,0,18.9,0.46,0.69,4,0,22.7,3.78,1.15,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",8,217.58,34.05,0,7.56,0.92,0.94,5,0,11.35,7.56,0.6,hanging out ,2,0,3.78,11.35,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",21,0,56.75,3.028,17.388,0,4.3,3,0,11.35,0.756,0,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",20,0,56.75,15.14,18.9,0,4.2,4,0,11.35,1.79,0,There were no other places today,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",12,147.412,45.4,13.57,16.87,0,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",5,94.6,34.05,15.14,7.56,0,1.2,8,0,0,7.56,1.2,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",4,70.95,22.7,0,8.694,0,1.6,8,0,11.35,4.536,0.6,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",4,0,22.7,0,5.292,0,0.69,5,0,0,0,0.6,yes,4,0,3.78,0,0.23,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",15,199.08,11.35,0,4.473,0,0,9,0,0,0,0.6,Bon,0,0,0,0,0,0,0,0
AUC Dorm,"Sunday, October 22nd 2023",5,0,34.05,0,15.183,0,0.5,2,0,0,0,0.33,no other,3,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",2,94.6,22.7,0,4.725,0,1.06,8,0,22.7,5.67,1.44,Hanging around,6.5,0,1.27008,0,0.85,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Wednesday, October 25th 2023",8,56,22,0,12,0,5,8,0,11.35,3.78,1.2,NA,0,0,0,0,0,0,0,0
"Al-Ahrām , الأهرام","Thursday, October 26th 2023",3,127.71,11.35,175.624,18.522,0,3.2,7,0,22.7,5.67,1.06,Clinic,2,0,1.89,11.35,0.23,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",20.5,0,11.35,0,5.67,0,0.46,3.5,0,0,0,0.6,0,0,0,0,0,0,0,0,0
AUC Dorm,"Monday, October 23rd 2023",5,122.98,11.35,0,3.78,0,1,5,0,11.35,1.575,0.33,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",11,160.82,11.35,0,3.78,0,0.46,13,0,0,0,0.25,0,0,0,0,0,0,0,0,0
AUC Dorm,"Tuesday, October 24th 2023",7,0,22.7,0,2.268,0,1,1,0,0,2.961,0.5,0,0,0,0,0,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Thursday, October 26th 2023",8,100,30,0,20,0,4,9,0,22,4,2,NA,0,0,0,0,0,0,0,0
AUC Dorm,"Wednesday, October 25th 2023",5,0,11.35,0,1.89,0,0.5,3,0,11.35,8.19,0.75,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",8,75.68,34.05,90.84,5.67,0,1.2,4,0,11.35,1.89,0.6,Gym,1,0,1.89,0,0.6,0,0,0
AUC Dorm,"Thursday, October 26th 2023",4,425.7,11.35,0,13.23,0,0.5,5,0,11.35,2.205,0.2,Out at a club,3,0,0,11.35,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",8,217.58,34.05,30.28,5.67,0,0.75,1,0,0,0,0.6,Restaurant ,2,0,1.89,0,0.6,0,0,0
"Al-Ma'ādī [Maadi] , المعادي","Sunday, October 22nd 2023",7,0,22.7,0,7.686,1.5,1.8,12.5,0,45.4,24.57,4.8,none,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",4,132.44,22.7,75.7,3.78,0,0.6,7,0,11.35,3.78,1.2,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",3,283.8,11.35,0,3.78,0,0.6,2,0,0,0,0.6,Theme park,4,0,1.89,0,0.3,0,0,0
"Al-Ma'ādī [Maadi] , المعادي","Monday, October 23rd 2023",7,126.764,22.7,196.82,15.12,0,3.6,14.5,0,34.05,4.536,7.2,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",12,132.44,22.7,0,11.34,0,0.6,6,0,34.05,18.9,1.2,Club and hanging around ,6,56.76,11.34,45.4,1.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",11,189.2,34.05,0,7.56,0,0.6,8,0,0,3.78,0.23,"restaurant, friends house",5,0,0,0,0.23,15,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Thursday, October 26th 2023",16,113.52,22.7,0,11.34,0,1.8,5,0,11.35,3.78,0.6,Friend’s house,3,0,3.78,11.35,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",4,141.9,34.05,68.13,3.78,0,1.2,9,0,56.75,3.78,0.6,District 5 (Restaurant and cinema ),4,0,3.78,11.35,0.6,15,0,0
"Al-Ma'ādī [Maadi] , المعادي","Tuesday, October 24th 2023",14,0,34.05,0,19.278,0,3.32,8,0,22.7,9.45,3,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",10.5,113.52,45.4,60.58,26.46,200,1.8,6,0,0,11.34,0.6,None,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",9,567.6,56.75,60.56,18.9,200,2.4,7,0,0,0,0.46,None,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",9,94.6,34.05,0,18.9,200,1.8,6,0,0,0,0,none,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",4,94.6,34.05,30.28,18.9,200,1.2,12,0,11.35,3.78,0.3,0,0,0,0,0,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Thursday, October 26th 2023",17,137,22.7,0,15.9,0,0.5,7,0,11.35,0.45,0.6,no other place,0,0,0,0,0,0,0,0
"Al-Ma'ādī [Maadi] , المعادي","Wednesday, October 25th 2023",13,127.71,56.75,174.11,24.192,0,2.58,9.5,0,34.05,23.814,3.6,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",3,0,34.05,0,15.12,200,1.8,6,0,34.05,11.34,0.6,Cinema,4,0,3.78,0,0.46,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",3,18.92,22.7,0,3.78,0,0.6,9,0,56.75,7.56,2.5,club ,4,0,1.89,11.35,1.2,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",2,283.8,22.7,0,15.12,0,0.6,12,0,11.35,7.56,1.2,0,0,0,0,0,0,15,0,0
"Al-Ma'ādī [Maadi] , المعادي","Thursday, October 26th 2023",8.5,95.546,22.7,0,17.01,0,0.83,10,0,56.75,18.9,3,Restaurant in Sheraton and Master Sokhna Express,4.5,0,7.56,0,0.6,0,0,0
"Az-Zamālik [Zamalek] , الزمالك","Thursday, October 26th 2023",12,90.5,34.05,0,3.78,0,0.5,5,0,0,3.78,0.5,friends house,6,0,7.6,11.35,0.23,30,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",12,283.5,34.05,227,26.46,3,0.6,8,0,22.7,18.9,0.6,0,0,0,0,0,0,30,0,0
AUC Dorm,"Thursday, October 26th 2023",8,0,22.7,15.14,7.56,0,0.6,5,0,0,0,0.6,car and back home to Alexandria ,13,141.9,22.68,45.4,1.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",3,75.68,22.7,0,15.12,0,1.2,8,0,11.35,3.78,0.6,hospital ,3,0,3.78,0,0.23,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",9,331.1,34.05,0,18.9,0,0.69,2,0,0,0,0,restaurent,2,0,3.78,0,0.46,15,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",24,0,68.1,151.4,37.8,3,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",11,28.38,22.7,0,1.89,0,0.2,13,0,34.05,3.087,0.5,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",6,113.52,22.7,0,7.56,0,0.69,7,0,11.35,3.78,0.6,restaurant ,4,0,0,0,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",7,94.6,22.7,0,5.67,0,0.9,6.5,0,34.05,7.56,1,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",17,56.76,34.05,11.355,9.009,0,1.9,7,0,0,10.584,0.65,N/A,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",4,264.88,11.35,0,7.56,0,0.6,8,0,22.7,7.56,0.6,restaurant ,2,0,3.78,0,0.23,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",8,94.6,22.7,0,3.78,0,0,7,0,11.35,1.89,0.9,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",6,0,34.05,0,7.56,0,0,9,0,34.35,11.34,0.9,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",6,141,34,0,15,0,3,0,0,0,0,0,No other places,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",13,245.96,34.05,280.09,18.9,3,0.6,9,0,34.05,18.9,0.6,0,0,0,0,0,0,30,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",16.5,130.075,22.7,0,4.725,0,1.3,6.5,0,22.7,12.159,2.15,Restaurant,1,0,1.26,0,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",11,0,45.4,0,11.34,0,1,3.5,0,0,0,0.6,0,0,0,0,0,0,15,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",24,50,22,0,26,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",21,0,34,0,15,0,2,3,0,22,4,0,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",14,189.2,45.4,204.39,22.5,3,0.6,7,0,22.7,18.9,0.6,0,0,0,0,0,0,15,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, October 26th 2023",10,217.58,45.4,0,22.68,3,0.6,9,0,11.35,11.34,0,mall,3,0,3.78,0,0,30,0,0
"Ash-Shurūq , الشروق","Sunday, October 22nd 2023",18,75.68,58.25,0,11.38,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ash-Shurūq , الشروق","Monday, October 23rd 2023",16,0,45.4,0,0,0,3,6,0,0,0,0,0,0,0,0,11.35,0,0,0,0
