District in Greater Cairo where you live,Which day of the week (phase I) are you filling the information for?,"How many HOURS did you spend at HOME/DORM today? 
Please answer in real numbers","Water consumption during Showering during the time you spent at HOME/DORM (9.46 liters per min. Taking a bath is 189.2 liters per tub). 
Please insert your answer in real numbers","Water consumption for Toilet Flushing during the time you spent at HOME/DORM (11.35 liters per flush). 
Please insert your answer in real numbers","Water consumption for Washing Dishes by hand during the time you spent at HOME/DORM (7.57 liters per min). 
Please insert your answer in real numbers","Water consumption for Washing Hands during the time you spent at HOME/DORM (3.78 liters per min). 
Please insert your answer in real numbers","Water consumption during Watering Plants during the time you spent at HOME/DORM (can vary widely but try to estimate the average amount of time water is poured).
Please insert your answer in real numbers","Water consumption while Drinking during the time you spent at HOME/DORM (Try to estimate the average amount of water used: 0.23 liters per glass of water, or 0.6 liters per small water bottle)
Please insert your answer in real numbers","How many HOURS did you spend at UNIVERSITY today? 
Please answer in real numbers","Water consumption during Showering during the time you spent at THE UNIVERSITY (9.46 liters per min. Taking a bath is 189.2 liters per tub). 
Please insert your answer in real numbers","Water consumption for Toilet Flushing during the time you spent at the UNIVERSITY (11.35 liters per flush). 
Please insert your answer in real numbers","Water consumption for Washing Hands during the time you spent at the UNIVERSITY (3.78 liters per min). 
Please insert your answer in real numbers","Water consumption while Drinking during the time you spent at the UNIVERSITY (Try to estimate the average amount of water used: 0.23 liters per glass of water, or 0.6 liters per small water bottle)
Please insert your answer in real numbers","Can you tell us about the type of OTHER PLACES you are filling the information for (restaurent? club? hanging around?, etc.)","How many HOURS did you spend at OTHER PLACES today? 
Please answer in real numbers","Water consumption during Showering during the time you spent at OTHER PLACES (9.46 liters per min. Taking a bath is 189.2 liters per tub). 
Please insert your answer in real numbers","Water consumption for Washing Hands during the time you spent at OTHER PLACES (3.78 liters per min). 
Please insert your answer in real numbers","Water consumption for Toilet Flushing during the time you spent at OTHER PLACES (11.35 liters per flush). 
Please insert your answer in real numbers","Water consumption while Drinking during the time you spent at OTHER PLACES (Try to estimate the average amount of water used: 0.23 liters per glass of water, or 0.6 liters per small water bottle)
Please insert your answer in real numbers","Water consumption for Washing Dishes in a Dish Washing Machine at HOME/DORM (15 liters per load/cycle). 
Please insert your answer in real numbers","Water consumption for Washing Dishes in a Dish Washing Machine at OTHER PLACES (15 liters per load/cycle). 
Please insert your answer in real numbers","Water consumption for Washing Dishes by hand during the time you spent at OTHER PLACES (7.57 liters per min). 
Please insert your answer in real numbers"
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Sunday, October 22nd 2023",15,165.55,34.05,3.785,7.938,0,0.4,7.4,0,11.35,1.89,0.6,no place I only went to university and home,0,0,0,0,0,0,0,0
"Al-Ma'ādī [Maadi] , المعادي","Sunday, October 22nd 2023",9,122.98,34.05,0,45.36,-,1.3,4,0,0,0,0.65,-,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",15,106.898,45.4,22.71,7.56,0,2,2,0,0,0,0,hanging around / gym,5.5,0,0,0,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",8,0,22.7,0,7.56,0,0.9,8,0,34.05,3.78,0.6,0,0,0,0,0,0,0,0,0
AUC Dorm,"Sunday, October 22nd 2023",8,141.9,68.1,0,142.884,0,1.5,3,0,11.35,3.78,0.6,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",10,0,11.35,0,2.079,0,0.3,14,0,22.7,1.197,0.9,no other place,0,0,0,0,0,15,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",12,116.831,90.85,0,9.828,0,0.46,9.33,0,0,1.26,0.23,Cousin's house 🏠 ,2.67,0,0.63,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",7,190.2,56.75,22.71,37.80,0,3,2,0,0,7.56,2,no where,0,0,0,0,0,15,0,0
"Al-Jīzah [Giza] , الجيزة","Sunday, October 22nd 2023",5,851.4,34.05,0,64.26,0,3.3,10,0,22.7,18.9,1.8,N/A,0,0,0,0,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Sunday, October 22nd 2023",2,94.6,45.4,0,15.12,0,1.61,4,0,0,3.78,0.6,Restaurant ,2,0,3.78,11.35,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",12,28.5,45.5,0,7.6,0,1.2,5,0,22.7,3.78,0.6,0,0,0,0,0,0,0,0,0
"Ash-Shurūq , الشروق","Sunday, October 22nd 2023",10,0,22.7,0,11.34,0,1.2,3,0,22.7,11.34,0.4,"restaurant, cafe, car",9,0,3.78,11.35,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",5,0,34.05,0,11.34,0,1.2,9,0,11.35,2.5,0.4,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",3,66.2,11.35,0,15.12,0,1.8,4.5,0,0,3.78,1.2,Sporting club,6,0,15.12,11.35,3,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Sunday, October 22nd 2023",18,104.06,56.75,0,11.34,0,2.4,6,0,11.35,3.78,0.6,Nothing ,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",4,94.6,34,128.9,19,0,1.3,7,0,22.7,10.2,0.3,Training,2,0,0,0,1.2,30,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Sunday, October 22nd 2023",2,66.22,22.7,0,60.48,0,0.23,10,0,22.7,45.36,0.6,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",7.5,210.958,34.05,0,6.93,0,2.32,1,0,11.35,1.56,0.6,cafe ,3,0,1.512,11.35,0.46,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",7,100,66,0,30,0,2,7,0,22.7,10,0,n/a,4,0,0,0,0,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Sunday, October 22nd 2023",7,52.03,34.05,-,1.134,0,1,8,0,11.35,0.378,0.6,-,0,0,0,0,0,0,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Sunday, October 22nd 2023",6,150.4,45.4,0,2.89,0,1.2,5,0,11.35,0.63,0,nowhere,0,0,0,0,0,0,0,0
AUC Dorm,"Sunday, October 22nd 2023",12,142,22,0,4,0,1.2,6,0,12,4,1,Mall,1,0,1,0,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",8,0,34,45.42,2,0,1.15,6,0,0,0,0,Hanging around,5,0,1.26,11.35,1.2,0,0,0
"Al-Ma'ādī [Maadi] , المعادي","Sunday, October 22nd 2023",8,0,22.7,0,37.8,0,0.6,16,0,68.1,46.44,0.6,No where,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",6,56.76,22.7,113.55,15.12,0,0.92,10,0,11.35,11.34,1.2,hanging around ,1,0,3.78,0,0,0,0,7.57
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",16,94.6,56.75,98.41,26.46,0,1.75,6,0,22.7,18.9,1,no other places,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",15,321.64,22.7,0,9.072,0,0.83,9,0,11.35,1.764,1,Non,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",5,160.94,45.4,45.42,7.56,0,4,9,0,45.4,7.56,4.2,none for the day,0,0,0,0,0,30,0,0
"Ash-Shurūq , الشروق","Sunday, October 22nd 2023",12,0,34.05,22.71,11.34,0,0.3,3.5,0,0,0,0.3,Gym and Going out,3.45,0,1.89,0,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",6,236.5,22.7,41.635,15.84,0,0.6,7,0,0,3.78,1.2,Restaurant ,2,0,7.56,11.35,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",16,28.38,2,2,4,0,1,4,0,0,1,0.6,mall,1,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",18,47.3,34.05,0,1.89,0,0.92,6,0,0,3,0.6,0,0,0,0,0,0,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Sunday, October 22nd 2023",6,56.76,45.4,113.55,18.9,3,1.8,9,0,11.35,7.56,0.6,Restaurant,1,0,3.78,0,0.3,1.5,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",10,180.213,34.05,18.925,9.324,0,2.05,6,0,22.7,14.616,0.65,N/A,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",14,0,1,0,1.26,0,0.25,7,0,1,6.3,1.2,Restaurant ,2,0,0.75,0,0,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Sunday, October 22nd 2023",5,141.9,56.75,15,2,0,1,4,0,5,3,2,I was just out in the car,4,0,0,0,0,60,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",6,0,2,0,7.56,0,0,7.5,0,1,1,1.8,Training,1,0,3.78,0,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",8,0,68.1,0,22.68,0,3,9.5,0,34.05,11.34,1.8,none. ,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",5,283.8,45.4,0,11.34,0,2,7,0,0,3.78,1,None ,0,0,0,0,0,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Sunday, October 22nd 2023",5,113.52,34.05,7.57,11.34,0,0.6,6,0,0,0,0.6,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",10,142,45,0,38,0,2.4,6.5,0,11.35,15,0.6,training,2,47.3,3.78,0,1.2,15,0,0
"Ash-Shurūq , الشروق","Sunday, October 22nd 2023",10,283.8,34.05,0,22.68,0,0.5,7,0,11.35,7.56,0,0,0,0,0,0,0,0,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Sunday, October 22nd 2023",6,0,11.35,0,1.26,0,1.2,7,0,22.7,1.26,1.2,No places,0,0,0,0,0,0,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Sunday, October 22nd 2023",8,189.2,34.05,0,18.9,0,1.2,1,0,0,7.56,0.3,Restaurant ,3,0,3.78,0,0.6,15,0,0
"Al-Jīzah [Giza] , الجيزة","Sunday, October 22nd 2023",6,109.6,34.05,0,9.576,0,1.2,6,0,22.7,3.78,0.6,Gym,2,0,0,0,1.2,0,0,0
"Ash-Shurūq , الشروق","Sunday, October 22nd 2023",10,406.78,45.4,0,30.24,0,1.4,6,0,34.05,7.56,0.6,Family's house,8,0,0,0,0,0,0,0
"Al-Ma'ādī [Maadi] , المعادي","Sunday, October 22nd 2023",6,425.7,2.5,454.2,1.26,1,1.8,1.5,0,0,3.78,0.6,Street ,4,0,0,0,0.6,30,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",7,0,34.05,0,2.63,0,0.46,7,0,0,0.95,0,None,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",3,199.2,56.75,0,26.46,10,2.4,11,0,56.75,26.46,1.8,nothing,0,0,0,0,0,15,0,0
AUC Dorm,"Sunday, October 22nd 2023",16.5,0,34.05,46.93,2.49,0,0.46,7.5,0,22.7,2.34,0.69,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",7,7,4,1,120,0,7,8,0,2,2,3,N/A,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",8,142,22.7,0,34,0,0.23,11,0,11.35,7.56,0.6,I didn’t go anywhere other than to the university today. ,0,0,0,0,0,0,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Sunday, October 22nd 2023",3,189.2,45.4,0,5.67,0,0.6,7,0,11.35,3.78,0.6,Friend’s house,4,0,0,0,0.3,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",13,94.6,45.4,0,7.56,0,3,4,0,0,0,0.6,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",5,28.38,11.35,0,11.34,0,0.69,11,0,34.05,11.34,0.6,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",11,122.98,45.4,0,26.46,0,1.8,8,0,11.35,3.78,0,club,5,0,3.78,0,0.6,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Sunday, October 22nd 2023",7,56,34,0,8,0,1,5,0,34,8,2,0,0,0,0,0,0,0,0,0
"Al-'Ubūr [El Ubour] , العبور","Sunday, October 22nd 2023",16,122.98,56.75,0,9.45,0,2,8,0,34.05,5.67,1.2,gym,1,0,2.835,11.35,0.3,15,0,0
"Al-Muqaṭṭam , المقطم","Sunday, October 22nd 2023",16,94.6,68.1,0,30.24,0,0.12,8,0,22.7,11.34,0.6,none,0,0,0,0,0,15,0,0
